                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4034,                 1.6917,                 1.2963,                0.73519,                0.59487,                0.67106,                0.38736,                 1.2096,                 5.2333,                 1.0424,             0.00065812,             0.00065812,             0.00065812
                      2,                 1.3219,                 1.1406,                 1.2513,                0.82805,                0.76557,                 0.8288,                0.46558,                 1.2771,                 5.8065,                 1.1475,              0.0012986,              0.0012986,              0.0012986
                      3,                 1.3802,                 1.1209,                 1.2973,                0.82164,                0.82684,                0.84554,                0.47798,                 1.2173,                 2.0092,                 1.0837,              0.0019126,              0.0019126,              0.0019126
                      4,                 1.3579,                 1.0204,                 1.2849,                0.91209,                0.76923,                0.88527,                0.57088,                 1.0822,                 6.8009,                 1.0365,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3062,                0.95785,                 1.2517,                0.81002,                0.80903,                0.86408,                0.51374,                 1.1894,                 1.0001,                  1.042,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3095,                0.88676,                 1.2451,                0.94224,                0.81538,                0.92145,                0.57727,                  1.046,                0.90736,                0.98318,               0.001802,               0.001802,               0.001802
                      7,                 1.2516,                0.84459,                 1.2243,                0.91467,                0.87952,                0.93784,                0.58506,                 1.0823,                0.76878,                 1.0018,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2518,                0.83375,                  1.228,                  0.908,                0.89231,                0.92966,                0.60624,                  1.055,                 3.2795,                 1.0068,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.215,                0.80055,                 1.2199,                0.91968,                0.90769,                0.93745,                0.62454,                 1.0446,                0.71544,                0.98422,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1952,                0.78435,                 1.2099,                0.96585,                0.87014,                0.93472,                0.63454,                 1.0143,                 0.6562,                0.98195,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1828,                 0.7444,                 1.1937,                0.95706,                0.88205,                0.94236,                0.63663,                0.97178,                0.80358,                 0.9774,               0.001604,               0.001604,               0.001604
                     12,                 1.1464,                 0.7309,                 1.1786,                0.94101,                0.90769,                0.93883,                0.62121,                0.98618,                 1.2108,                 0.9573,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1691,                0.72585,                    1.2,                0.94131,                0.90469,                0.95438,                0.64297,                 0.9564,                 0.5545,                0.97215,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1365,                 0.7154,                 1.1726,                0.94706,                0.91732,                0.95729,                0.65182,                0.99544,                0.53944,                0.95335,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.111,                0.68669,                 1.1682,                0.93629,                0.91282,                0.94591,                0.63991,                0.94445,                0.58365,                0.94544,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1128,                0.68078,                 1.1689,                0.95139,                0.90339,                 0.9363,                0.60386,                0.96028,                0.78014,                0.95721,               0.001406,               0.001406,               0.001406
                     17,                 1.1055,                 0.6697,                 1.1482,                0.95974,                0.89231,                 0.9522,                0.65664,                0.90723,                0.59131,                0.93125,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0661,                0.64321,                  1.129,                0.95003,                0.86154,                0.93765,                0.65417,                 0.9225,                0.86462,                0.93409,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0688,                0.63765,                 1.1496,                0.92078,                0.84615,                0.91955,                0.63769,                0.98043,                 1.8193,                0.95088,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0821,                0.65965,                 1.1509,                0.95808,                0.88205,                0.94555,                0.63691,                0.94124,                0.51369,                0.92483,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0898,                0.64799,                 1.1428,                0.95477,                0.91795,                 0.9603,                0.65671,                0.92632,                0.70808,                0.93322,               0.001208,               0.001208,               0.001208
                     22,                  1.038,                0.60877,                 1.1274,                0.99434,                0.90159,                0.96465,                0.67274,                0.89433,                0.46975,                0.92302,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0382,                0.61292,                 1.1321,                0.96501,                0.91795,                0.96861,                0.67311,                0.90071,                0.48311,                0.92094,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0245,                0.60034,                 1.1165,                0.97678,                0.90256,                0.96625,                 0.6956,                0.87308,                0.47066,                0.88861,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0188,                0.58244,                 1.1124,                0.97811,                0.91659,                0.95565,                0.67324,                0.87116,                0.51092,                0.90319,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0129,                0.58025,                 1.1171,                0.98592,                0.92308,                0.96338,                0.66116,                0.89712,                 0.4495,                0.92127,                0.00101,                0.00101,                0.00101
                     27,                 1.0295,                0.57132,                  1.113,                0.98886,                0.91017,                0.96271,                0.70477,                0.83723,                0.52161,                0.87933,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0031,                0.56193,                  1.115,                0.95126,                0.94359,                0.97471,                0.69871,                0.85365,                0.45596,                0.89502,              0.0009308,              0.0009308,              0.0009308
                     29,                0.98008,                0.56202,                 1.0958,                0.99128,                0.90769,                0.96826,                0.69373,                0.88625,                0.44786,                0.90631,              0.0008912,              0.0008912,              0.0008912
