                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96855,                0.55169,                 1.0931,                0.99439,                0.92821,                0.97368,                0.70944,                0.82941,                 0.3978,                0.87574,             0.00065812,             0.00065812,             0.00065812
                      2,                 0.9587,                0.55182,                 1.0941,                 0.9587,                0.87692,                0.94657,                0.65822,                0.88501,                0.50963,                0.91487,              0.0013117,              0.0013117,              0.0013117
                      3,                 1.0311,                0.61757,                 1.1271,                0.94009,                0.88718,                0.94839,                0.65878,                0.94427,                 1.5349,                0.94698,               0.001952,               0.001952,               0.001952
                      4,                 1.0625,                0.64219,                 1.1459,                  0.955,                0.89744,                0.96345,                 0.6664,                0.90819,                 1.1105,                0.95589,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0587,                0.64091,                 1.1469,                0.96292,                0.89744,                0.94565,                 0.6241,                 1.0087,                 3.8211,                0.99609,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0814,                0.63837,                 1.1474,                0.96086,                0.88117,                0.92675,                0.63905,                0.92996,                0.52108,                0.92504,               0.001901,               0.001901,               0.001901
                      7,                 1.0494,                0.62493,                 1.1332,                0.96568,                0.89231,                0.96512,                0.67854,                0.88603,                0.47981,                0.91769,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0676,                0.63695,                 1.1437,                0.95738,                0.92154,                0.96508,                 0.6682,                0.93763,                0.48746,                0.95971,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0593,                0.62203,                 1.1551,                0.97129,                0.94359,                0.97408,                0.68632,                0.91356,                0.45819,                0.94374,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0416,                0.61985,                  1.139,                0.89789,                0.90191,                0.95218,                 0.6639,                0.89847,                0.99723,                0.93731,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0227,                0.58539,                 1.1285,                0.97237,                0.90243,                0.96014,                0.69016,                0.91796,                0.47394,                0.94291,               0.001802,               0.001802,               0.001802
                     12,                 1.0163,                0.60187,                  1.123,                0.97286,                0.91898,                0.96457,                0.66679,                0.95466,                0.45866,                0.94128,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0268,                 0.6064,                 1.1396,                0.97003,                0.89231,                0.93402,                0.65668,                0.96288,                0.47516,                 0.9716,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0247,                0.59525,                 1.1242,                0.97811,                0.93333,                0.97058,                0.67606,                0.89639,                0.80655,                0.91883,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0157,                0.58837,                 1.1254,                0.96439,                0.91282,                0.95741,                0.67192,                0.88715,                 1.8478,                0.92419,              0.0017228,              0.0017228,              0.0017228
                     16,                0.99926,                0.57909,                 1.1163,                0.98885,                0.92308,                0.96588,                0.68425,                0.87704,                0.61925,                0.91679,               0.001703,               0.001703,               0.001703
                     17,                 1.0015,                0.58846,                 1.1078,                0.95645,                0.90769,                 0.9656,                0.69693,                0.83612,                0.49163,                0.90297,              0.0016832,              0.0016832,              0.0016832
                     18,                0.98744,                0.58112,                 1.1035,                0.96731,                0.91042,                0.96128,                0.68363,                0.87094,                0.45427,                0.92157,              0.0016634,              0.0016634,              0.0016634
                     19,                0.98192,                0.57213,                 1.1195,                0.97614,                0.93846,                0.96735,                0.66251,                0.89474,                 1.1859,                0.93085,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.9969,                0.58084,                 1.1192,                0.96753,                0.91691,                0.95652,                 0.6822,                 0.8981,                0.44314,                0.90811,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0034,                0.57515,                 1.1025,                 0.9889,                0.91373,                0.96593,                0.66677,                0.90995,                 1.2099,                0.94113,               0.001604,               0.001604,               0.001604
                     22,                0.98148,                0.55077,                 1.1055,                0.98357,                0.92103,                0.95486,                0.68283,                0.86875,                 0.4313,                0.92463,              0.0015842,              0.0015842,              0.0015842
                     23,                0.97595,                0.56464,                 1.1043,                0.96038,                0.93333,                0.96836,                0.69889,                0.87923,                0.43429,                0.90751,              0.0015644,              0.0015644,              0.0015644
